compound_id,canonical_smiles,measured_solubility_logs,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,heavy_atom_count,num_aromatic_rings,num_aliphatic_rings,num_heteroatoms,fraction_csp3,molar_refractivity,ro5_violations,ro5_compliant
Amigdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,457.432,-3.108,202.32,7,12,7,3,32,1,2,12,0.65,102.2816,2,False
Fenfuram,Cc1occc1C(=O)Nc1ccccc1,-3.3,201.225,2.8403,42.24,1,2,2,2,15,2,0,3,0.0833,57.8402,0,True
citral,CC(C)=CCCC(C)=CC=O,-2.06,152.237,2.878,17.07,0,1,4,0,11,0,0,1,0.5,48.486,0,True
Picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87,278.354,6.2994,0.0,0,0,0,5,22,5,0,0,0.0,96.466,1,True
Thiophene,c1ccsc1,-1.33,84.143,1.7481,0.0,0,1,0,1,5,1,0,1,0.0,24.319,0,True
benzothiazole,c1ccc2scnc2c1,-1.5,135.191,2.2963,12.89,0,2,0,2,9,2,0,2,0.0,39.62,0,True
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32,326.437,6.6206,0.0,0,0,1,2,17,2,0,5,0.0,76.928,1,True
Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,-5.03,272.388,3.6092,40.46,2,2,0,4,20,1,3,2,0.6667,78.7306,0,True
Dieldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.29,380.913,4.4814,12.53,0,1,0,5,19,0,5,7,0.8333,77.575,0,True
Rotenone,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,394.423,3.7033,63.22,0,6,3,5,29,2,3,6,0.3478,105.9045,0,True
2-pyrrolidone,O=C1CCCN1,1.07,85.106,-0.1036,29.1,1,1,0,1,6,0,1,2,0.75,22.2437,0,True
2-Chloronapthalene,Clc1ccc2ccccc2c1,-4.14,162.619,3.4932,0.0,0,0,0,2,11,2,0,1,0.0,48.958,0,True
