candidate_id,smiles,pred_solubility_logs,solubility_class,quantum_fidelity_prob,qed_drug_likeness,synthetic_accessibility,homo_lumo_gap_ev,dipole_moment_debye,ro5_compliant,ro5_violations,composite_score,is_pareto_optimal,is_novel,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,ring_count
QMOL-001,O=C(O)c1ccccc1O,-0.632,High Solubility,0.976,0.61,2.49,6.541,2.383,True,0,78.1,True,True,138.122,1.0904,57.53,2,2,1,1
QMOL-002,c1ccncc1,0.908,High Solubility,0.74,0.453,2.0,6.235,2.185,True,0,78.1,True,False,79.102,1.0816,12.89,0,1,0,1
QMOL-003,COc1cccc(O)c1C(=O)O,-1.31,High Solubility,0.942,0.693,2.9,6.578,2.391,True,0,76.3,True,True,168.148,1.099,66.76,2,3,2,1
QMOL-004,FC(F)(F)c1cnc2[nH]cnc2n1,-1.466,High Solubility,0.857,0.679,3.22,6.119,2.284,True,0,73.4,False,True,188.112,1.3717,54.46,1,3,0,2
QMOL-005,COc1nc2[nH]cnc2nc1C(F)(F)F,-2.564,High Solubility,0.971,0.785,3.63,6.552,2.034,True,0,72.4,True,True,218.138,1.3803,63.69,1,4,1,2
QMOL-006,c1cnc2[nH]cnc2n1,-0.417,High Solubility,0.659,0.545,2.8,4.816,3.143,True,0,72.2,True,True,120.115,0.3529,54.46,1,3,0,2
QMOL-007,CC(=O)Nc1ccc(O)cc1,-1.831,High Solubility,0.977,0.595,2.62,6.38,1.65,True,0,71.5,True,False,151.165,1.3506,49.33,2,2,1,1
QMOL-008,COc1cc2cc[nH]c2cc1N,-2.156,High Solubility,0.945,0.628,3.27,6.604,1.85,True,0,69.7,True,True,162.192,1.7587,51.04,2,2,1,2
QMOL-009,c1ccccc1,-1.531,High Solubility,0.901,0.443,1.99,6.327,0.901,True,0,68.0,False,False,78.114,1.6866,0.0,0,0,0,1
QMOL-010,O=C(O)c1cc2cc[nH]c2cc1O,-2.573,High Solubility,0.954,0.619,3.29,6.449,3.715,True,0,67.5,False,True,177.159,1.5717,73.32,3,2,1,2
QMOL-011,CC(=O)Oc1ccccc1C(=O)O,-2.208,High Solubility,0.944,0.55,2.96,6.138,2.702,True,0,67.4,False,True,180.159,1.3101,63.6,1,3,2,1
QMOL-012,c1ccc2[nH]ccc2c1,-2.194,High Solubility,0.827,0.544,2.79,5.083,2.43,True,0,65.8,False,False,117.151,2.1679,15.79,1,0,0,2
QMOL-013,COC(=O)c1nc2nc(N)[nH]c2nc1C(F)(F)F,-2.375,High Solubility,0.383,0.733,3.83,7.228,3.272,True,0,62.7,True,True,261.163,0.7405,106.78,2,6,1,2
QMOL-014,O=Cc1nc2nc(C(F)(F)F)c(O)nc2[nH]1,-2.177,High Solubility,0.239,0.712,3.63,6.837,4.335,True,0,61.1,True,True,232.121,0.8898,91.76,2,5,1,2
QMOL-015,O=C(O)c1cnc2[nH]cnc2n1,-2.28,High Solubility,0.21,0.621,3.22,6.633,3.074,True,0,57.9,False,True,164.124,0.0511,91.76,2,4,1,2
QMOL-016,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-3.508,Moderate/Low Solubility,0.092,0.822,4.46,7.357,2.429,True,0,54.6,True,True,206.285,3.0732,37.3,1,1,4,1
QMOL-017,COc1cc(C(C)C(=O)O)ccc1CC(C)C,-3.918,Moderate/Low Solubility,0.098,0.854,4.83,7.302,3.476,True,0,53.3,True,True,236.311,3.0818,46.53,1,2,5,1
QMOL-018,c1ccc(-c2ccccc2)cc1,-4.347,Moderate/Low Solubility,0.062,0.591,3.17,6.462,1.869,True,0,44.5,False,False,154.212,3.3536,0.0,0,0,1,2
QMOL-019,COc1c(CC(C)C)ccc(C(C)C(=O)OC=O)c1C,-3.444,Moderate/Low Solubility,0.168,0.456,5.24,7.848,3.753,True,0,44.3,False,True,278.348,3.0052,52.6,0,4,6,1
QMOL-020,c1ccc2c(c1)Cc1ccccc1-2,-4.661,Moderate/Low Solubility,0.078,0.481,3.67,6.261,1.532,True,0,39.3,False,False,166.223,3.2578,0.0,0,0,0,3
