compound_id,canonical_smiles,heavy_atom_count,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,polarizability_bohr3,heat_capacity_cv
QM9_00001,N#CC12CC1CO2,7,-7.1484,-0.234,6.9144,4.5933,55.81,21.459
QM9_00002,COCC(O)C#CC=O,9,-7.3389,-1.7878,5.5511,3.4068,77.34,35.183
QM9_00003,COC1C2CC(=NO)C21,9,-6.1443,0.4245,6.5688,1.292,76.75,32.71
QM9_00004,C#CCOC(C)CC=O,9,-6.6341,-0.5415,6.0926,3.1488,79.5,36.895
QM9_00005,COC(=N)N1CCC1=N,9,-6.3756,0.1524,6.5307,1.9135,77.81,32.448
QM9_00006,CC1(C#CCO)CN1,8,-6.6205,0.7619,7.3824,2.1424,74.74,31.974
QM9_00007,CCC1CNC(=O)CN1,9,-5.8423,0.8953,6.7348,3.8267,79.57,34.304
QM9_00008,CC(C)N(C)C(C)C#N,9,-6.1389,0.9606,7.0967,4.2814,86.63,40.309
QM9_00009,CC1(O)C2CC1C(=O)O2,9,-7.1729,0.1007,7.2736,3.9822,67.58,30.273
QM9_00010,CCC1C(O)C2OC12,8,-6.7947,1.9946,8.7893,1.8163,66.73,29.729
QM9_00011,N=C1NC(C=O)CC1=O,9,-6.6559,-1.8939,4.762,4.4494,68.85,29.389
QM9_00012,CC(O)C1OC1(C)C,8,-6.8981,1.9511,8.8491,1.1097,71.68,35.765
QM9_00013,CCC12CC3C(C1O)C32,9,-6.7511,2.0082,8.7621,1.5542,81.04,33.705
QM9_00014,CC1C2C1C1(C)C2N1C,9,-5.2001,2.2177,7.4178,1.2824,87.8,36.219
QM9_00015,Cc1coc(=N)[nH]c1=O,9,-6.694,-1.1374,5.5566,3.1857,71.97,29.38
QM9_00016,C#CC1NC1(C)C(C)=O,9,-6.4926,-0.5279,5.962,2.4509,79.57,35.992
QM9_00017,O=CC(=O)N1CCC1=O,9,-7.1512,-2.5443,4.6069,4.8679,66.23,28.706
QM9_00018,C#CCN1C2C3OC3C21,9,-6.2232,0.9959,7.2192,2.203,74.48,30.155
QM9_00019,N=C1OCC12CC(O)C2,9,-6.743,0.3891,7.1294,3.2822,72.72,30.686
QM9_00020,C1=NCC(=NC2CC2)N1,9,-5.8096,-0.0299,5.777,3.0795,84.08,30.872
QM9_00021,COc1cc(O)n[nH]1,8,-5.6572,1.2871,6.9443,2.3729,59.87,27.443
QM9_00022,CCOC1=NCC2OC12,9,-6.6477,0.283,6.9307,1.7737,74.0,30.588
QM9_00023,CC12CC1C1OC1C2O,9,-6.7865,1.8068,8.5906,2.0361,73.24,31.872
QM9_00024,CN1C(=O)NC2C(O)C21,9,-6.0709,1.551,7.6192,3.5492,68.36,31.211
QM9_00025,C#CCCOC(C)=NC,9,-6.713,0.849,7.562,1.4983,85.27,38.087
QM9_00026,CC1=NCC(CCO)O1,9,-6.5471,0.8463,7.3933,2.2114,76.61,34.359
QM9_00027,CC1OC2(CC2)CC1O,9,-6.1933,1.8395,8.0328,1.8642,79.09,34.835
QM9_00028,CC(C)C(C)NC(N)=O,9,-6.6096,1.5837,8.1933,3.3733,82.8,41.309
QM9_00029,CC1(O)C2CC=CCC21,9,-6.3947,0.8816,7.279,1.2696,83.07,34.329
QM9_00030,CC12OC1C(=O)CC2O,9,-6.7321,-0.9279,5.8015,2.0612,68.14,31.698
QM9_00031,N=C1OC2C3OC2C13,8,-6.9117,0.1061,7.0178,1.4016,58.52,21.716
QM9_00032,N#CC1C(O)C2CCC12,9,-7.377,0.5279,7.9049,3.7674,75.0,30.93
QM9_00033,CC12CCC(OC1)C2O,9,-6.5715,2.0708,8.6423,1.4512,76.29,32.792
QM9_00034,CC(=O)C1(C)C2CCC21,9,-6.226,-0.2422,5.9811,2.6001,83.13,34.982
QM9_00035,O=CNC12C3C4C1N4C32,9,-6.0246,0.3075,6.3321,2.5967,68.67,26.829
QM9_00036,CC(=O)C(=O)OCC=O,9,-7.2165,-2.283,4.9334,1.586,63.8,32.293
QM9_00037,NC=[NH+]c1ccoc1[O-],9,-4.1035,-0.9551,3.1484,7.7687,90.89,30.637
QM9_00038,O=CC12CC3C1CCN32,9,-6.6913,-1.0857,5.6028,2.0312,75.91,28.354
QM9_00039,C#CCC1(O)CC(C)C1,9,-6.8273,1.1129,7.9403,1.0887,84.26,37.647
QM9_00040,C#CC1CC1C1CO1,8,-6.5416,1.3715,7.9131,2.2205,70.85,28.901
QM9_00041,O=C1CC2C(O)C12CO,9,-6.7103,-0.4408,6.2695,4.667,69.42,32.218
QM9_00042,CCC1C2OC3C1C23C,9,-6.1307,2.0681,8.1988,1.8274,82.2,33.475
QM9_00043,Cc1nc(F)nc(=N)o1,9,-7.1702,-1.9511,5.2191,2.7438,64.31,27.017
QM9_00044,CC1(O)CC1(O)CCO,9,-6.2124,1.6871,7.8995,2.9301,75.98,39.266
QM9_00045,C1=NC(C2CCC2)CO1,9,-6.7049,0.5987,7.3035,1.3842,78.83,30.17
QM9_00046,CC12CCC3(C)C1CC23,9,-7.3933,2.6069,10.0002,0.1184,89.61,34.114
QM9_00047,O=CC(O)CC1CC1O,9,-6.9933,-0.8735,6.1198,3.3142,73.34,35.137
QM9_00048,CC1=CC(O)CC(=O)C1,9,-6.596,-0.4708,6.128,3.306,78.9,33.77
QM9_00049,CC1C2COC3(CC3)C12,9,-6.0845,2.1878,8.2723,1.3875,82.49,32.785
QM9_00050,COC1(C)CCNC1=O,9,-6.2042,0.7102,6.9117,2.6214,75.46,34.805
QM9_00051,CCCC(O)C#CC=O,9,-7.3416,-1.7687,5.5729,3.1267,85.38,36.912
QM9_00052,N=c1cnc(N)ncn1,9,-6.5661,-1.8721,4.694,3.5491,76.04,28.159
QM9_00053,C1=CC23CC2COC1O3,9,-6.1824,-0.0952,6.0899,1.692,71.21,27.131
QM9_00054,CC(C=O)COC1CC1,9,-6.7675,-0.615,6.1552,1.6483,80.42,36.145
QM9_00055,C1=NC2C3CC(O1)OC32,9,-6.2804,0.3837,6.6641,2.3437,67.05,24.957
QM9_00056,C1Cc2[nH]nnc2CO1,9,-6.6722,-0.0435,6.6287,4.4731,70.06,26.212
QM9_00057,O=C1C2C3C4N3C2C14O,9,-6.6124,-0.7211,5.8913,2.2916,63.09,25.948
QM9_00058,N#Cc1ccn(C=O)n1,9,-7.9974,-2.2885,5.7089,6.4052,72.26,25.554
QM9_00059,O=CC1C2CCOC12,8,-6.4954,-0.5524,5.943,3.7358,65.42,26.077
QM9_00060,O=C(CO)CC1CCO1,9,-6.8028,-0.8354,5.9702,1.7326,72.03,33.318
QM9_00061,CC#CCCC1(O)CC1,9,-6.5471,1.5619,8.1063,1.2968,88.5,38.23
QM9_00062,CC(C#N)C#N,6,-9.3417,-0.351,8.9906,4.1272,47.23,20.75
QM9_00063,COCC1(C(N)=O)CN1,9,-6.4246,0.7538,7.1784,5.1682,73.38,34.962
QM9_00064,COC(CO)C(O)C=O,9,-6.9307,-1.0476,5.8831,2.9597,69.02,35.744
QM9_00065,C#CC1(C2CC2)CO1,8,-7.0722,0.6884,7.758,1.6254,70.68,29.405
QM9_00066,OC1CC2C3CC=C1C32,9,-5.9947,-0.0327,5.962,1.7012,80.47,29.559
QM9_00067,O=CC1COCOC=N1,9,-6.8409,-0.8816,5.9593,2.1557,66.85,28.774
QM9_00068,CCCC#CC1OC1C,9,-6.5933,0.8626,7.4559,2.0554,90.95,37.236
QM9_00069,NC1=NC(C=O)C(=O)N1,9,-6.6178,-0.947,5.6709,6.5064,65.6,29.708
QM9_00070,CNc1ncn2c1CC2,9,-4.6287,1.2327,5.8613,3.3276,82.1,30.237
QM9_00071,CC12C=CC(O)CC1N2,9,-6.4681,0.2095,6.6777,1.9163,80.54,33.572
QM9_00072,C1CC2(C3CO3)OCC12,9,-6.6396,1.6136,8.2559,0.7894,74.85,30.239
QM9_00073,O=C1NC2C3OCC1C23,9,-6.3076,0.5578,6.8654,3.496,66.75,25.96
QM9_00074,Nc1nc2ocnc2[nH]1,9,-5.2491,0.0735,5.3225,3.2112,67.22,25.823
QM9_00075,CCOC(C)C1CC1,8,-6.7158,2.3565,9.0723,1.0755,79.12,35.009
QM9_00076,CC12NC1CCCC2=O,9,-6.2994,-0.2939,6.0056,3.0751,78.91,32.488
QM9_00077,CCC1C2OC1C2(C)C,9,-6.3783,2.4517,8.8301,1.7527,86.67,37.23
QM9_00078,Cc1ocnc1OC=O,9,-6.5171,-0.4,6.1144,3.9955,66.88,28.157
QM9_00079,CC12CC3(C1)OC(=N)C23,9,-7.1022,0.2449,7.3471,2.8774,79.17,30.602
QM9_00080,C#CCC1CCCC1C,9,-6.9797,1.5728,8.5498,0.8412,90.67,37.016
QM9_00081,NC(=O)N(C=O)C1CC1,9,-7.0233,-0.5333,6.4899,1.5283,71.0,32.363
QM9_00082,O=C1CC23CCC12OC3,9,-6.3947,-1.034,5.3606,3.6425,71.3,29.019
QM9_00083,CCC12CCC3C1CC32,9,-7.4967,2.4735,9.9703,0.1475,89.04,32.695
QM9_00084,N=c1nnn(C=O)nn1,9,-7.4015,-3.0858,4.3157,2.9922,66.98,25.122
QM9_00085,CN(C)c1cnon1,8,-6.1634,-0.8109,5.3525,4.6825,64.09,26.974
QM9_00086,Cc1n[nH]nc1C(N)=O,9,-6.9335,-0.8136,6.1198,3.1469,68.48,30.435
QM9_00087,CC1=CC2C3CCC2C13,9,-5.5783,0.6912,6.2695,0.2736,87.63,30.451
QM9_00088,CCOCCC(F)(F)F,9,-7.162,2.2858,9.4478,2.0578,62.77,34.283
QM9_00089,COC(C)C(C)CO,8,-6.7784,2.0926,8.8709,2.2885,75.28,37.591
QM9_00090,CC#CC1CC1C(N)=O,9,-6.2396,0.5823,6.8192,3.115,82.8,35.382
QM9_00091,Cc1ccnc(O)c1O,9,-5.8205,-0.2531,5.5674,0.2207,75.34,30.875
QM9_00092,Cc1cc(=N)onc1N,9,-5.8994,-1.5783,4.3239,4.8242,78.57,31.405
QM9_00093,CC(=O)C1C2CC(C)C21,9,-6.2532,-0.2721,5.9811,2.4982,84.22,34.687
QM9_00094,CC1(C2CC2)C(O)C1O,9,-6.0763,1.4939,7.5702,2.0274,78.91,37.083
QM9_00095,Cn1cncc1CC=O,9,-6.0899,-0.9606,5.1293,2.0053,76.11,30.45
QM9_00096,OC1C(O)C2(O)CCC12,9,-6.6532,1.3034,7.9566,2.3208,70.24,34.119
QM9_00097,CN1CC1CNC(N)=O,9,-6.0518,1.5456,7.5974,3.1498,76.51,36.205
QM9_00098,CC12C3CC(C1O)C2O3,9,-6.4219,1.9293,8.3512,2.1737,73.92,30.667
QM9_00099,CCC(=O)C(=NC)NC,9,-6.0926,-1.1891,4.9035,2.3382,84.79,39.001
QM9_00100,CC(O)C1(C2CC2)CN1,9,-6.3566,1.7796,8.1362,2.551,81.5,36.915
QM9_00101,CCC12CN3C1C(O)C32,9,-6.2151,1.6327,7.8478,1.5763,78.92,32.776
QM9_00102,CCC1CC2(C1)CC2O,9,-6.6886,2.1742,8.86,1.1972,86.76,37.233
QM9_00103,CC1=CC2CCC1OC2,9,-6.2668,0.634,6.9008,1.4165,82.68,31.267
QM9_00104,O=CC1OC2CCOC12,9,-6.8301,-0.8272,6.0028,2.9732,67.72,28.222
QM9_00105,CC12NC1(C#N)C1CC12,9,-7.5076,0.3429,7.8505,5.2032,77.18,30.345
QM9_00106,CC12OC3C1COCC32,9,-6.3375,2.0626,8.4002,1.2651,74.57,29.843
QM9_00107,C1=CC2(CC2)CC12CC2,9,-5.611,0.7619,6.3729,0.1449,91.49,32.784
QM9_00108,CC1=C(N)C(C)OC1=O,9,-6.06,-0.2122,5.8477,6.4375,76.97,34.275
QM9_00109,CC12C=CCCC1(C)C2,9,-5.9375,0.6857,6.626,0.3297,91.06,35.963
QM9_00110,C1C2C3NC3C1C21CO1,9,-6.1933,2.1878,8.3838,2.9617,74.97,27.756
QM9_00111,C1CC23COC(C2)OC13,9,-6.7022,2.2858,8.9879,2.4884,73.24,27.565
QM9_00112,CC1(O)C2CN(C=O)C21,9,-6.2477,0.5714,6.8192,3.3112,74.0,32.849
QM9_00113,Cc1n[nH]c2ncnn12,9,-6.4926,-0.1605,6.3321,1.9275,68.39,25.679
QM9_00114,C1=CC2(CCC2)OCC1,9,-6.4001,0.6395,7.0369,0.9954,85.17,31.816
QM9_00115,CC1CC2OCC1C2C,9,-6.3348,2.1687,8.5036,1.6971,83.83,33.617
QM9_00116,C1CC2C1CC1COC12,9,-6.6069,1.864,8.4709,1.6877,80.11,29.28
QM9_00117,COC1COCC1(C)C,9,-6.6124,2.1143,8.7267,1.7566,81.6,37.438
QM9_00118,CC1=C2CCC2OC1=N,9,-6.3266,-0.6776,5.6518,3.3748,83.08,30.459
QM9_00119,CC1(C(O)CC=O)CC1,9,-6.596,-0.5252,6.0709,3.4329,79.59,37.571
QM9_00120,C#CC1=CC2C3OC2C13,9,-6.1117,-1.1021,5.0123,1.3792,80.41,27.648
QM9_00121,CC(C#N)C(C=O)CO,9,-7.1375,-1.015,6.1226,4.9954,72.88,35.71
